epoch,magnitude_l1,magnitude_l2,fpgm,taylor,random
1,38.6600,39.3600,40.7700,44.8800,25.5300
2,41.3200,41.6600,42.8900,45.8200,35.9900
3,43.8400,45.0400,45.6400,46.0200,40.5400
4,43.5100,43.4100,44.3800,47.8700,41.1500
5,43.6800,45.3700,46.0200,48.5500,42.6500
6,44.2800,43.8700,46.8700,48.5000,42.9100
7,43.3700,45.4300,45.8000,49.2100,43.1200
8,44.1900,44.0800,45.7300,48.0800,41.5500
9,46.7400,46.5600,47.1500,48.8500,44.6000
10,46.1000,46.8900,46.6500,48.8900,45.7400
11,46.7200,46.6500,47.6200,48.4100,45.1500
12,46.9900,47.1300,47.9800,47.9900,45.6500
13,45.8700,46.7600,47.8100,48.7800,43.3600
14,48.0500,48.0100,48.3000,48.6800,47.1300
15,45.0000,45.4200,46.6500,49.7800,45.5400
16,47.2600,47.9600,48.5300,50.1800,46.5100
17,46.6400,47.9900,47.9300,49.2800,47.1600
18,47.2400,48.5300,48.3400,50.5600,46.0000
19,47.4800,48.4600,47.2000,50.3900,47.0800
20,46.4100,48.1700,48.4600,49.9000,46.8600
21,48.3900,48.5300,49.6100,50.3500,47.5400
22,46.7300,47.7900,48.4600,51.0600,47.6300
23,46.3600,47.5900,49.7400,51.7900,48.0900
24,46.2900,47.4100,48.5300,49.6200,48.9700
25,49.3800,47.0700,48.3300,50.6700,46.9900
26,44.3900,45.5200,48.4800,49.3800,46.4600
27,47.4600,48.0600,48.6000,51.4300,47.9100
28,47.2900,48.1900,48.8500,50.4800,47.6900
29,47.5200,49.0400,48.6700,50.5200,47.7500
30,48.4600,49.5000,49.2300,48.3900,48.3900
31,48.7100,47.9200,48.7200,50.8300,48.6000
32,47.7500,49.1600,47.6900,49.7900,46.7600
33,46.7400,49.1900,47.1600,49.2000,47.0300
34,48.1200,48.5900,50.4000,48.6800,49.0900
35,47.9800,48.2500,48.5000,50.4500,48.9100
36,47.7400,48.3000,49.2200,50.4100,48.2100
37,47.7100,49.4800,47.2600,49.7300,49.0300
38,47.7800,49.6400,50.2300,51.6000,48.7100
39,47.4500,48.9900,49.9600,51.0600,48.9300
40,50.3300,49.0900,50.0300,51.5000,50.6300
41,48.3900,48.9200,48.3400,51.1400,48.9300
42,47.5000,49.4700,49.5100,51.5100,49.3900
43,49.9100,49.9600,50.6300,52.4100,49.5700
44,48.4900,49.8000,50.8500,51.6200,48.8600
45,50.4000,49.8900,50.0500,48.7200,49.2900
46,48.5400,50.7800,49.3400,50.2900,47.9000
47,48.6600,47.1400,49.1600,50.4100,47.4600
48,49.8800,49.9200,49.5800,50.6700,50.0200
49,48.2200,49.6800,47.6500,51.7100,48.2900
50,49.9500,50.8500,49.1400,51.4000,49.4200
51,49.0900,49.2800,49.1000,52.3400,48.8400
52,49.6400,49.1300,50.8700,51.9100,48.6900
53,48.7500,49.6400,49.5800,50.1900,49.5200
54,46.9400,48.6300,48.4900,52.4200,49.6100
55,49.5700,50.5700,50.7300,51.9400,51.0600
56,48.9300,49.1000,49.4700,51.6000,50.7100
57,48.9400,48.6600,47.9400,52.1100,50.1700
58,48.7600,49.3700,49.1300,51.7800,49.9700
59,50.5100,50.1200,49.6900,51.5400,48.9500
60,49.1200,49.1700,50.6800,50.9300,49.3800
61,54.6400,55.0300,55.2800,56.6700,55.3600
62,54.3300,55.3100,55.4100,57.0300,55.5900
63,54.8700,55.5600,55.7200,57.2700,55.8800
64,54.9500,55.3300,56.0900,57.3900,55.5400
65,55.2400,55.6200,55.6200,57.4600,55.4700
66,55.0900,55.4700,56.0500,57.0000,55.8400
67,55.1700,55.9300,56.6600,57.2700,55.8300
68,54.9100,55.7500,55.9300,57.1800,55.8300
69,54.8200,55.5400,56.0500,57.5000,56.1500
70,55.5900,56.2500,56.5300,57.5100,56.1000
71,55.1600,56.0300,56.1200,57.5500,56.2700
72,55.3300,55.1500,56.1500,57.9300,56.0700
73,55.3500,55.5500,56.2000,57.8500,56.0100
74,55.5300,55.8300,56.7000,57.6300,56.1400
75,55.1400,55.6100,56.1900,56.9300,55.9900
76,54.9600,55.9600,56.2800,57.5000,56.2400
77,55.3300,55.8800,56.3600,57.5000,56.4200
78,54.9500,55.6900,56.0700,57.2700,56.1200
79,55.0200,55.8900,56.0100,57.5900,56.1300
80,55.4100,56.1600,56.2100,57.4000,55.9700
81,55.7000,56.3900,56.6800,57.8200,56.9200
82,55.6600,56.5200,57.1000,57.7700,56.8800
83,55.8500,56.5500,56.8800,57.8300,56.7800
84,55.7500,56.4700,56.9200,57.8400,56.8500
85,55.8600,56.5200,57.0700,57.7200,56.8700
86,55.8800,56.6700,57.0400,57.6300,56.9800
87,56.0600,56.4900,57.0500,57.6900,57.1900
88,55.8500,56.4000,56.9700,57.7400,56.8900
89,55.8100,56.3500,56.8900,57.9200,56.8700
90,55.8700,56.4200,56.8300,57.6100,57.0000
91,55.8100,56.6400,57.0000,57.6500,56.8800
92,56.1000,56.5600,56.8500,57.5500,56.7700
93,55.9800,56.6100,56.8900,57.6900,56.6500
94,55.8600,56.6600,56.9600,57.7200,56.6500
95,55.8800,56.6000,57.0600,57.7900,56.7900
96,55.9300,56.6100,56.9900,57.6200,56.7500
97,56.0200,56.6900,57.0700,57.6800,56.9800
98,55.9400,56.5800,57.2000,57.6100,56.9000
99,55.9300,56.7400,56.9000,57.7500,57.0000
100,55.8500,56.7000,57.2000,57.7800,56.8000
