epoch,magnitude_l1,magnitude_l2,bn_scale,fpgm,taylor,random
1,47.8000,37.4000,26.0500,9.5900,19.0100,13.4100
2,52.6500,49.4800,40.8300,13.7800,30.1300,20.9300
3,56.8800,55.5100,45.1500,23.0300,34.1300,29.4900
4,57.9600,51.5700,48.3600,25.7900,40.8300,32.8800
5,57.2100,53.4100,50.2400,25.2600,43.9600,30.9600
6,58.6600,57.2100,51.2800,32.6200,42.7500,38.8900
7,60.4600,56.8500,55.5300,34.0900,48.8500,39.3700
8,60.5500,58.8800,55.1100,35.9200,48.8300,44.1100
9,62.2100,60.1800,56.1700,38.2500,50.7600,42.0300
10,61.4400,60.2300,57.3500,39.2000,48.9100,42.3700
11,61.0600,61.6500,58.6700,40.7000,51.3800,45.9100
12,61.8400,61.8100,58.5200,40.3200,53.9700,47.8400
13,62.8100,61.7900,57.2700,34.5100,51.7700,47.7400
14,63.2600,59.7700,59.7500,43.8700,53.6500,45.1000
15,62.8300,61.4600,61.3900,44.4900,53.1900,49.3700
16,62.5500,61.2100,60.5200,45.6200,56.5200,50.0600
17,63.1200,62.6800,57.8700,47.4600,55.4800,48.8200
18,61.1400,61.7000,57.3800,41.9100,54.5200,48.3300
19,64.0500,61.7500,57.3700,46.8100,56.7900,50.0500
20,63.3200,60.8400,60.3800,48.2700,55.2100,49.2900
21,63.3900,63.4600,60.9100,49.7700,55.9400,52.0900
22,64.0500,60.5600,59.8400,48.3300,53.4100,52.8400
23,61.5500,59.2600,60.3700,48.8600,55.8100,51.9900
24,61.0000,63.2600,59.2100,46.1300,56.8000,50.7100
25,63.0400,62.9300,59.9900,48.6300,56.8200,54.3700
26,62.9600,60.1700,60.1900,51.5700,56.2100,51.8400
27,63.3700,62.4600,60.7600,51.0500,56.8300,51.3800
28,63.5200,61.7500,57.8000,49.6900,54.8500,52.7800
29,62.4000,60.8900,61.7700,49.2600,56.7700,54.2100
30,64.1200,62.1700,60.4100,52.0400,57.6800,54.7500
31,62.6200,60.2700,59.9300,50.5700,58.2500,53.8000
32,64.6400,60.5400,61.4500,51.1100,58.4700,54.9700
33,64.3300,62.3700,59.5800,53.0600,58.1400,55.8900
34,64.4600,62.4500,62.4700,52.9600,56.2800,55.0000
