epoch,magnitude_l1,magnitude_l2,bn_scale,fpgm,taylor,obdc,random
1,45.3600,54.6400,56.7200,58.6300,69.2600,66.5600,67.2600
2,54.5100,61.6900,64.2700,59.9700,70.0000,69.4000,66.8300
3,60.7200,63.3700,64.6400,63.2400,69.5500,68.5100,68.3000
4,61.2500,64.1700,64.4800,64.9400,68.6900,70.0600,68.1000
5,59.6600,62.4900,65.5100,63.6400,68.9400,69.8400,69.4000
6,62.4100,66.3100,68.0500,64.5800,70.0900,69.2800,69.0200
7,63.2400,66.2800,65.8000,67.6000,70.1200,69.4400,69.1800
8,65.3100,66.0400,65.3500,65.1200,70.4800,69.6000,69.0500
9,63.2000,67.3600,67.9200,67.1400,69.8000,70.6300,69.9200
10,64.0400,68.9700,68.1500,67.6100,70.3600,70.2700,69.6500
11,64.6400,66.7200,64.1200,66.2700,70.1100,70.0500,70.2200
12,65.3800,67.3300,69.0400,68.4900,70.9000,70.6000,70.6000
13,64.1500,67.9300,68.0400,66.9900,70.4400,69.9100,69.8500
14,65.0500,67.7300,67.4200,66.0700,70.6100,70.9600,70.1300
15,64.3800,68.2800,67.6800,67.2700,71.5500,71.1600,70.3100
16,65.8000,66.7400,67.4400,67.4700,71.5900,69.6500,70.3300
17,64.3500,68.0000,68.5600,66.8500,71.0900,70.5900,71.1500
18,63.5100,66.9900,69.0300,68.1300,71.0200,69.4300,70.8300
19,66.4900,67.9100,69.4500,66.9700,70.6000,70.8300,70.5700
20,65.4200,67.6300,68.6200,67.4300,71.8500,70.6600,70.8900
21,66.5100,67.7900,67.8400,67.9200,71.6400,70.8600,70.8800
22,65.6600,67.6500,68.9400,66.4100,71.6500,71.0500,70.6900
23,65.6400,67.4300,66.4100,66.1000,71.1700,69.3100,71.2600
24,64.9500,67.8100,69.5000,67.4800,71.1900,70.4300,70.3800
25,65.8600,67.6300,68.4100,68.3500,70.8000,70.3400,70.8400
26,66.0500,67.5900,68.8000,67.9500,70.8900,70.9000,70.8700
27,66.1500,68.7700,68.4500,67.5100,71.4400,70.0700,71.4600
28,65.7300,68.1500,68.7200,67.3100,71.4700,70.4300,70.9400
29,66.3400,65.5700,69.6500,68.2700,71.9900,70.7900,71.1200
30,65.0600,67.3800,67.9400,67.1000,70.8800,70.1600,69.9400
31,65.9500,66.9700,66.6900,67.5700,70.5800,70.3200,70.9700
32,65.9200,66.7000,68.6600,67.9600,70.7000,70.9200,70.9500
33,65.6100,69.0900,68.6900,67.4500,71.2400,70.1900,70.9800
34,66.4300,67.7600,69.1000,69.1400,71.1400,70.7900,70.8000
35,65.8700,68.9900,67.7500,68.5700,71.0300,71.9000,70.8200
36,65.8300,68.2800,68.8300,67.4900,71.1900,71.0700,70.8700
37,67.3000,67.7000,69.3700,68.3600,71.2600,69.4800,70.2500
38,66.7300,67.6000,68.0500,68.6700,72.1300,70.9900,70.6500
39,66.7100,68.1100,68.5200,67.3800,71.2500,70.2300,70.7800
40,66.2200,69.0200,69.6100,68.2200,71.1600,71.0100,70.0400
41,66.6600,67.9200,69.0000,68.7400,70.2500,69.1200,71.8600
