magl1_x,magl1_y,magl2_x,magl2_y,bnscale_x,bnscale_y,fpgm_x,fpgm_y,taylor_x,taylor_y,obdc_x,obdc_y,random_x,random_y
64,71.5400,64,71.5900,64,69.3500,64,71.3800,64,75.1200,64,75.2000,64,74.3900
65,71.9300,65,72.1600,65,69.5900,65,71.4400,65,74.8100,65,75.4600,65,74.3900
66,71.5300,66,71.9200,66,69.4000,66,71.4800,66,74.8900,66,75.1100,66,74.3100
67,71.6600,67,71.8600,67,69.3100,67,71.5400,67,74.8700,67,75.3500,67,74.5900
68,71.5600,68,72.0500,68,69.4500,68,71.5600,68,74.9100,68,75.3700,68,74.4500
69,71.5100,69,71.8500,69,69.4800,69,71.5300,69,74.9500,69,75.3800,69,74.7400
70,71.8300,70,71.6900,70,69.6600,70,71.7100,70,75.0000,70,75.4000,70,74.4500
71,71.7600,71,71.9800,71,69.4000,71,71.7400,71,75.0900,71,75.5300,71,74.5800
72,71.8400,72,71.9600,72,69.3000,72,71.8500,72,75.0400,72,75.3400,72,74.5700
73,71.8700,73,72.2900,73,69.4100,73,71.7100,73,74.8800,73,75.4900,73,74.6400
74,71.8800,74,71.9900,74,69.3800,74,71.7400,74,75.0900,74,75.4400,74,74.6300
75,71.9100,75,72.2200,75,69.3300,75,71.6000,75,75.0300,75,75.3900,75,74.7800
76,71.9300,76,71.9300,76,69.3100,76,71.8800,76,75.0500,76,75.5800,76,74.6800
77,72.0000,77,72.0200,77,69.4400,77,71.6300,77,74.7900,77,75.4500,77,74.6300
78,72.2100,78,72.0700,78,69.6200,78,71.7700,78,74.7800,78,75.5000,78,74.7500
79,71.7800,79,72.1000,79,69.0700,79,71.6100,79,74.8100,79,75.4100,79,74.2900
80,71.8900,80,72.0500,80,69.5000,80,71.9900,80,75.0300,80,75.5200,80,74.4900
81,71.9600,81,71.9000,81,69.5300,81,72.0600,81,75.0300,81,75.6000,81,74.7500
82,72.0000,82,72.1300,82,69.3900,82,71.9300,82,75.0400,82,75.5200,82,74.6600
83,71.8500,83,72.2100,83,69.4500,83,71.9200,83,75.0200,83,75.3900,83,74.5100
84,71.7700,84,72.2300,84,69.5200,84,71.7600,84,75.0500,84,75.4500,84,74.6800
85,72.0800,85,72.0600,85,69.4500,85,71.8400,85,74.8300,85,75.7400,85,74.5200
86,72.0400,86,72.1400,86,69.5300,86,71.7700,86,75.0700,86,75.5000,86,74.6700
87,71.8600,87,72.1300,87,69.4900,87,71.7000,87,74.9300,87,75.4700,87,74.6200
88,72.1200,88,72.1300,88,69.7700,88,71.8200,88,74.7500,88,75.6700,88,74.6300
89,71.9400,89,72.0100,89,69.4400,89,71.9300,89,74.9200,89,75.5900,89,74.7200
90,71.9800,90,72.0200,90,69.4400,90,71.8600,90,75.0800,90,75.6600,90,74.7400
91,71.9700,91,72.0800,91,69.3900,91,71.6600,91,74.7400,91,75.5800,91,74.6200
92,71.9100,92,72.0900,92,69.6600,92,71.8700,92,75.0600,92,75.4500,92,74.7900
93,72.1500,93,72.3200,93,69.6600,93,71.7100,93,75.1200,93,75.4400,93,74.7100
94,71.9900,94,72.3700,94,69.6900,94,71.9900,94,75.0600,94,75.5300,94,74.7800
95,72.0200,95,72.1500,95,69.6100,95,71.9500,95,74.9100,95,75.5300,95,74.7500
96,72.0800,96,72.0000,96,69.5000,96,71.8600,96,74.9700,96,75.4600,96,74.5600
97,71.9200,97,72.1000,97,69.5400,97,71.7200,97,75.0300,97,75.7900,97,74.7700
98,72.0100,98,72.1900,98,69.4400,98,71.7500,98,74.8600,98,75.5700,98,74.5400
99,71.9900,99,72.1000,99,69.5600,99,71.9200,99,74.9300,99,75.5200,99,74.5200
100,72.0400,100,72.2900,100,69.5100,100,72.1600,100,75.0400,100,75.5200,100,74.5600
