magl1_x,magl1_y,magl2_x,magl2_y,bnscale_x,bnscale_y,fpgm_x,fpgm_y,taylor_x,taylor_y,obdc_x,obdc_y,random_x,random_y
10,24.0100,10,29.1500,10,21.8400,10,32.6400,10,67.3800,10,59.9000,10,66.2900
20,1.3000,20,1.2600,20,1.5000,20,5.1000,20,59.7100,20,40.7900,20,38.2600
30,1.0600,30,1.8000,30,1.0600,30,1.7800,30,49.6800,30,33.2200,30,17.7200
40,1.4200,40,1.5400,40,0.9700,40,1.1400,40,43.8400,40,24.4000,40,4.6500
50,0.7100,50,0.9100,50,0.9900,50,1.6100,50,31.5600,50,18.4300,50,2.1500
60,1.0000,60,1.0000,60,1.0000,60,1.0000,60,24.5100,60,12.1400,60,1.0000
70,1.0000,70,0.8900,70,1.0200,70,1.0000,70,8.5600,70,8.0800,70,1.0100
80,1.0000,80,1.1200,80,1.1500,80,1.0000,80,2.6400,80,3.5900,80,0.9300
90,1.0000,90,1.0000,90,1.0000,90,1.0000,90,1.4900,90,1.6900,90,1.0000
