magl1_x,magl1_y,magl2_x,magl2_y,bnscale_x,bnscale_y,fpgm_x,fpgm_y,taylor_x,taylor_y,obdc_x,obdc_y,random_x,random_y
10,64.8700,10,64.8400,10,63.5500,10,64.8600,10,64.8600,,,10,17.2600
20,64.8600,20,64.8700,20,63.5500,20,64.8600,20,64.8600,,,20,1.6200
30,64.8700,30,64.8400,30,63.5400,30,64.8600,30,64.8600,,,30,1.0400
40,64.8700,40,64.8600,40,63.5500,40,64.8600,40,64.8500,,,40,1.0000
50,64.8600,50,64.8600,50,63.5500,50,64.8700,50,64.8800,,,50,1.1200
60,64.8600,60,64.8600,60,63.5500,60,64.8700,60,64.8600,,,60,1.0000
70,61.0600,70,59.2400,70,46.8300,70,60.9800,70,57.7500,,,70,1.0000
80,44.2700,80,39.8100,80,11.9400,80,42.2900,80,19.2500,,,80,1.0000
90,1.0000,90,1.0000,90,1.0000,90,1.0100,90,1.0700,,,90,1.0000
