magl1_x,magl1_y,magl2_x,magl2_y,bnscale_x,bnscale_y,fpgm_x,fpgm_y,taylor_x,taylor_y,obdc_x,obdc_y,random_x,random_y
10,55.4700,10,55.4600,,,10,53.3200,10,55.5000,,,10,10.5700
20,33.3900,20,43.7800,,,20,46.8300,20,50.8900,,,20,15.9800
30,9.0600,30,9.3500,,,30,31.0300,30,38.5200,,,30,2.2100
40,4.6000,40,5.2900,,,40,6.8900,40,22.4100,,,40,1.2300
50,2.0000,50,1.6400,,,50,1.2000,50,11.5200,,,50,1.3800
60,1.2900,60,1.1300,,,60,1.0000,60,5.3600,,,60,1.0000
70,1.0000,70,1.0000,,,70,1.0000,70,1.9700,,,70,1.0000
80,1.0000,80,1.0100,,,80,1.0000,80,1.0100,,,80,1.0000
90,1.0000,90,1.0000,,,90,1.0000,90,1.0000,,,90,1.0000
