magl1_x,magl1_y,magl2_x,magl2_y,bnscale_x,bnscale_y,fpgm_x,fpgm_y,taylor_x,taylor_y,obdc_x,obdc_y,random_x,random_y
10,70.9500,10,71.1300,10,54.8900,10,28.4900,10,71.7400,10,73.1000,10,51.7900
20,31.8800,20,7.4500,20,8.0900,20,8.6100,20,46.3000,20,45.2100,20,5.1800
30,2.0000,30,1.9200,30,1.2900,30,2.2800,30,31.8100,30,23.1500,30,1.8100
40,1.0000,40,0.9600,40,1.0000,40,0.9200,40,18.0700,40,10.8200,40,0.9500
50,1.4500,50,1.0000,50,1.0000,50,1.1700,50,8.6200,50,5.3800,50,1.0000
60,1.5400,60,1.0000,60,1.0000,60,1.0000,60,3.0700,60,3.8800,60,1.0000
70,1.0000,70,1.0000,70,1.0000,70,1.0000,70,1.8600,70,2.5600,70,1.0000
80,1.0000,80,1.0000,80,1.0000,80,1.0000,80,1.0500,80,1.2800,80,1.0000
90,1.0000,90,1.0000,90,1.0000,90,1.0000,90,1.0000,90,1.0000,90,1.0000
