magl1_x,magl1_y,magl2_x,magl2_y,bnscale_x,bnscale_y,fpgm_x,fpgm_y,taylor_x,taylor_y,obdc_x,obdc_y,random_x,random_y
0.0000,77.4000,0.0000,77.4000,0.0000,77.4000,0.0000,77.4000,0.0000,77.4000,0.0000,77.4000,0.0000,77.4000
10.0119,77.8900,10.0216,77.6400,10.0566,77.4500,10.0299,77.3800,9.4277,77.6300,9.7786,77.4300,10.0594,77.5700
20.0346,77.6600,20.0612,77.7300,20.0013,77.4900,20.0588,77.8200,20.0103,77.4700,20.0714,77.6000,20.0794,77.8500
30.0701,77.1800,30.1085,77.4000,30.0574,77.6000,30.0107,77.7600,30.1229,76.9700,30.0271,77.1000,30.1353,76.8900
40.0894,77.3100,40.1307,77.3600,40.0511,77.4700,40.0260,77.4600,40.1503,77.2000,40.0927,77.1600,40.1331,77.5400
50.1615,77.2100,50.0203,77.1500,50.1013,75.8300,50.0464,77.1400,50.1723,77.3800,50.2143,77.0400,50.1592,76.8700
60.1510,77.1200,60.1292,77.0500,60.2011,75.8800,60.0718,76.5100,60.2197,77.4400,60.1031,77.3100,60.1109,76.5700
70.1328,75.5400,70.0994,75.4300,70.0593,75.6700,70.1698,75.6000,70.0420,76.7800,70.0371,76.8700,70.0466,76.5600
80.1697,73.9100,80.2007,73.8900,80.1422,74.9200,80.1718,73.0300,80.0599,76.0800,80.1141,76.2000,80.1990,76.2300
90.1267,70.2400,90.0717,71.4100,90.1755,68.8100,90.1749,70.9400,90.1071,74.3000,90.1760,75.1700,90.1409,73.6900
